State,01 Live Animals,02 Meat And Edible Meat Offal,"03 Fish, Crustaceans & Aquatic Invertebrates",04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi,"05 Products Of Animal Origin, Nesoi","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",07 Edible Vegetables & Certain Roots & Tubers,08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,"09 Coffee, Tea, Mate & Spices",10 Cereals,11 Milling Products; Malt; Starch; Inulin; Wht Gluten,"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc","13 Lac; Gums, Resins & Other Vegetable Sap & Extract",14 Vegetable Plaiting Materials & Products Nesoi,"15 Animal, Vegetable Or Microbial Fats And Oils Etc","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",17 Sugars And Sugar Confectionary,18 Cocoa And Cocoa Preparations,"19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares","20 Prep Vegetables, Fruit, Nuts Or Other Plant Parts",21 Miscellaneous Edible Preparations,"22 Beverages, Spirits And Vinegar",23 Food Industry Residues & Waste; Prep Animal Feed,24 Tobacco & Subs;prod For Inhal W/o Combust;nic Prod,25 Salt; Sulfur; Earth & Stone; Lime & Cement Plaster,"26 Ores, Slag And Ash","27 Mineral Fuel, Oil Etc.; Bitumin Subst; Mineral Wax",28 Inorg Chem; Prec & Rare-earth Met & Radioact Compd,29 Organic Chemicals,30 Pharmaceutical Products,31 Fertilizers,"32 Tanning & Dye Ext Etc; Dye, Paint, Putty Etc; Inks","33 Essential Oils Etc; Perfumery, Cosmetic Etc Preps","34 Soap Etc; Waxes, Polish Etc; Candles; Dental Preps",35 Albuminoidal Subst; Modified Starch; Glue; Enzymes,36 Explosives; Pyrotechnics; Matches; Pyro Alloys Etc,37 Photographic Or Cinematographic Goods,38 Miscellaneous Chemical Products,39 Plastics And Articles Thereof,40 Rubber And Articles Thereof,41 Raw Hides And Skins (no Furskins) And Leather,42 Leather Art; Saddlery Etc; Handbags Etc; Gut Art,43 Furskins And Artificial Fur; Manufactures Thereof,44 Wood And Articles Of Wood; Wood Charcoal,45 Cork And Articles Of Cork,"46 Mfr Of Straw, Esparto Etc.; Basketware & Wickerwrk",47 Wood Pulp Etc; Recovd (waste & Scrap) ppr & pprbd,48 Paper & Paperboard & Articles (inc Papr Pulp Artl),"49 Printed Books, Newspapers Etc; Manuscripts Etc","50 Silk, Including Yarns And Woven Fabric Thereof","51 Wool & Animal Hair, Including Yarn & Woven Fabric","52 Cotton, Including Yarn And Woven Fabric Thereof",53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,"54 Manmade Filaments, Including Yarns & Woven Fabrics","55 Manmade Staple Fibers, Incl Yarns & Woven Fabrics","56 Wadding, Felt Etc; Sp Yarn; Twine, Ropes Etc.",57 Carpets And Other Textile Floor Coverings,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,59 Impregnated Etc Text Fabrics; Tex Art For Industry,60 Knitted Or Crocheted Fabrics,"61 Apparel Articles And Accessories, Knit Or Crochet","62 Apparel Articles And Accessories, Not Knit Etc.",63 Textile Art Nesoi; Needlecraft Sets; Worn Text Art,"64 Footwear, Gaiters Etc. And Parts Thereof",65 Headgear And Parts Thereof,"66 Umbrellas, Walking-sticks, Riding-crops Etc, Parts","67 Prep Feathers, Down Etc; Artif Flowers; H Hair Art","68 Art Of Stone, Plaster, Cement, Asbestos, Mica Etc.",69 Ceramic Products,70 Glass And Glassware,"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin",72 Iron And Steel,73 Articles Of Iron Or Steel,74 Copper And Articles Thereof,75 Nickel And Articles Thereof,76 Aluminum And Articles Thereof,78 Lead And Articles Thereof,79 Zinc And Articles Thereof,80 Tin And Articles Thereof,81 Base Metals Nesoi; Cermets; Articles Thereof,"82 Tools, Cutlery Etc. Of Base Metal & Parts Thereof",83 Miscellaneous Articles Of Base Metal,"84 Nuclear Reactors, Boilers, Machinery Etc.; Parts",85 Electric Machinery Etc; Sound Equip; Tv Equip; Pts,86 Railway Or Tramway Stock Etc; Traffic Signal Equip,"87 Vehicles, Except Railway Or Tramway, And Parts Etc","88 Aircraft, Spacecraft, And Parts Thereof","89 Ships, Boats And Floating Structures","90 Optic, Photo Etc, Medic Or Surgical Instrments Etc",91 Clocks And Watches And Parts Thereof,92 Musical Instruments; Parts And Accessories Thereof,93 Arms And Ammunition; Parts And Accessories Thereof,"94 Furnit;bedding,mattres;luminaires,light Fix;prefab","95 Toys, Games & Sport Equipment; Parts & Accessories",96 Miscellaneous Manufactured Articles,"97 Works Of Art, Collectors' Pieces And Antiques","98 Special Classification Provisions, Nesoi",IsSoutheastern,IsEastern
Hawaii,2260633,,10137009,87909,2608,16529,737198,17502749,7232683,121292,95975,1718308,131999,,129834,14810,32000,4810394,4699763,1839319,1212981,10016807,20332,18887,138614,,72471052,40000,138709,345754,,48045,2546350,32890,64000,,,81930,6995675,857672,32000,1037018,17775,439703,39607,,6248777,349669,232120,,16633,11091,,211492,52562,24600,95354,23795,80220,,460647,1267834,1139450,1554179,28352,38257,12686,557549,89183,103122,3597112,52303414,389860,11712146,,21027695,862303,709883,8012,187194,58175,239646,6956170,18098842,24823,6813232,123759944,148848,9515744,1226696,1312146,347820,2079536,500686,50188,1950488,18764711,0,0
Idaho,129238679,12928713,887244,260504603,15183764,623544,147737849,3294945,609821,16146666,56451322,118115963,3011,,4411268,3358406,28959391,5800309,52386426,184581718,82017499,4271101,3113327,,3857125,247152430,12623834,110583878,8795711,4144017,184677033,1312563,33519560,19796331,95521202,7927266,222472431,5901193,40250612,2577249,12964800,4182132,,102685704,24267,,1809362,67609845,2534954,,4908,899533,10877,35568,,301699,3900,47113,156112,44446,869075,4380106,2453403,1302736,1187879,10512,6328,1872250,1991340,1126351,194980017,1363928,18103062,1530897,77463,7591478,,,,135961,9168023,3220265,308205243,673435156,2556570,73401845,100143631,2954579,123808266,75128,218186,5266287,5741376,26457532,334676,387431,6104513,0,0
Illinois,6355663,938090018,5616714,183201097,82584470,1003862,46386289,11426941,17515924,1629397502,169000808,2962952896,14039246,264284,186856723,192663635,370873942,345893650,402090426,173711351,812935035,587212167,1341137959,1234712,59665322,66548334,2135981490,1210643694,1042495871,6994860504,183866458,574930799,583336158,667349224,347246592,26271794,11972071,2378509406,3075689218,1019641470,55389235,25982057,7528635,153194755,519694,535788,193708098,634138676,137203859,13669,2243805,8875460,302743,3869281,8487772,53259035,3389939,15444544,52410871,1983602,22685581,60377411,126292301,8066514,78088122,578387,1956660,279721754,55412072,146807519,686364580,721885597,1391735684,791924250,73365150,690040274,5128814,24431905,5478777,53131435,275552108,265457083,12640100439,8608417460,557240476,7499492912,1329032464,20059535,4354668289,15578770,31493442,116333611,347546795,371198485,144878428,155622272,213266463,0,0
Indiana,9686172,218965222,776076,41921495,3390834,329392,2020738,12024891,1010881,105332601,25494888,46053774,4479936,41153,30231564,3434325,210241096,39146510,199542292,76787507,181788508,185715000,378531821,14079,22008910,16207744,384788926,220219952,7893323473,12626487862,9713194,167726885,125028180,165594609,304354239,4927714,1625945,1342702829,1832339533,299099682,7735630,26309413,126392,220992588,118416,1301968,7374090,207688762,207369266,,50258,2538645,41135,5997161,1125459,30698580,826649,5103755,26303949,3214032,15278915,12600338,23770044,12613479,5520676,73400,211046,134436444,10413665,182884501,14222167,566523217,551263933,290566195,207484375,370476311,2426361,16465228,3236795,108959084,79164046,226699373,6260329318,3492595356,186439342,8779115832,2160537843,58196114,3517119824,2302334,16696047,26214127,315352410,127889418,13192515,2652473,196508961,0,0
Iowa,29500417,1541455369,128125,51517733,43090720,5621,287010,697912,1290723,923107639,42415366,433438733,2136226,219609,95470641,252486587,453194801,11310713,114007960,14504839,104647721,449133344,1014662115,43332,65902556,335788728,53675804,60324064,231648417,581275908,33498533,120834531,64681587,13595042,233182363,5840842,62910,1092964432,347561507,122697013,27072210,1959809,524886,61616870,22390,6930,3004574,37562675,10104559,9592,,43652,37858,2685506,1591854,9788231,33110,1653196,13217686,4741707,2922810,1888075,20115350,328720,307466,30839,19043,42253132,3343456,7453801,23618838,119860540,206796177,44773072,97427,244599152,295704,734806,7485896,13198455,33600328,21467952,2157200815,673078892,27834408,1865745416,258918945,1994862,392063003,100297,455048,33950578,180910691,23912097,15695830,2386377,13704612,0,0
Kansas,2598699,2092147443,25108,97108729,67779306,62907,8178013,278133,57355,963197019,69155304,237366199,2249426,192501,51750858,16864002,1027753,12038672,49979082,35672349,54258010,77976885,455210889,,6388925,42767,157446301,276010093,92163412,305720683,7503773,32806552,5539651,71006884,20343543,8823336,10947,149047319,203590810,190914291,102708420,61685694,12659,12782189,30620,80415,3165124,10844179,6558243,5677,115594,5463609,39009,1845692,3157084,1584013,1616130,414545,3655408,945961,3444278,1016177,5981881,494255,10652062,26754,1420784,8553443,4940640,18388079,4997183,36639198,147145061,30028494,3419818,216142620,1711263,306668,103262,50223412,14805893,23240926,1179662414,1566525941,32067521,549666093,2440032812,17297702,398530926,3921710,466425,4034676,23857149,22858290,11945776,794350,189145973,0,0
Kentucky,139092061,72774582,383211,3341271,1829215,23142,4516379,5975927,137929,136723,2098082,10507866,567117,20273,10390837,358364,18343502,3658884,67125053,40646615,65720478,705624812,220816372,6463217,20123779,4573640,728590259,92001192,332477892,2921770415,9886615,288314826,123834678,167933298,66584604,38351519,25138511,1070459282,1499743915,276465099,8802225,6730933,,385454200,17990,26218,11360583,176348257,77970483,11040,2849,1164407,93521,28797247,603596,22598986,3315645,1304551,26892378,5078321,56894942,42635596,6804734,13074496,6404771,32933,51751,127586910,15325678,215315520,54028150,456987687,365447851,61208367,235899754,533781097,245053,1372378,54874,60497811,189838606,183791477,5445223739,2091920352,33077103,5563929142,17020790765,414676,976599050,2253833,1336641,58163950,64401146,154184997,35733937,3251857,20026611,1,0
Louisiana,1556418,201680089,1082805,455124,195554,91633,2377980,60259,50378808,6773617654,246438,9850372145,867503,65950,400102819,2083300,29170519,4841934,1437396,16087237,136265653,178572811,3043852460,915105,22215228,117071674,44561860677,895584900,3757976630,44119392,281296998,19184369,3989689,233855537,1735817,6797986,13579,1525948042,2370755339,691837109,88263576,1547057,32000,549006644,21819,6145,1737144,280244600,1306773,,,24952389,102553,945265,2535710,8525163,109358,892495,5376040,2396203,626069,1322773,5322493,280800,364261,3200,,3307627,10271868,5063500,72236338,77633790,220868185,88289514,28933993,30867208,57842,1446144,28663,581578,18313588,5355186,1083680985,170264581,46306728,102022875,116353692,40890196,120194587,110909,111956,,11938592,2920422,650126,13275304,4172248,0,0
Maine,28808431,1482362,405886737,488211,1613947,712063,6640231,26871763,50939,1189818,765406,3336561,44522059,20532,1117668,3035423,2005697,20850,1475379,25541751,7147170,38222386,1507364,,13247607,12423,114854635,2333398,606145,24438105,4812736,2116561,2947917,2228490,1819568,20494,16249,202559811,57912730,3705439,59433,3900314,75630,145145931,7758,3227,105492445,266532936,2343554,,90278,18852,,2920253,4695771,12323142,8713845,274120,3896568,62478,870940,2267960,1256831,3545605,46650,,,773030,782311,4805911,690027,41555763,12760847,5435467,12655762,4171077,75491,107961,39914,5480435,2213332,994434,182612412,296355295,1683300,73311389,346577212,7980959,108228526,99457,1499207,56297695,8401648,7944738,12326186,9735467,64229037,0,1
Maryland,2276861,96290717,6221293,18556580,3634313,159143,12356269,2260529,34590860,15477495,1871569,168787057,47280010,46208,12099270,10388600,6347092,739619,14829580,16153205,88430167,4120109,21164189,913238,15236754,2687274,2758935888,109276891,177615837,861467158,663376,147962380,185869315,11440675,65896196,792561,859604,912184658,469677708,19822420,157822,10200921,3651165,25313869,47514,142792,102475778,98183926,186557913,5191,1517226,98391,88267,8567899,359708,34184886,9911011,2143028,63473281,128840,11076036,12542213,45430077,15380897,897397,385546,556819,13796966,6338430,36581826,308759987,234048235,148533960,54569783,106774786,157964230,4652475,4418898,8902678,21170255,24826083,48097620,1699937661,1175021757,7473635,885450291,3404738474,11124874,568141188,1193366,38428433,26595494,88199420,13825322,7050961,16629144,324217687,0,1
Massachusetts,4359088,13058949,249928478,1494481,5644636,2294204,2987421,6324989,2121798,70292,6969831,2171569,1933974,44619,18873044,21631222,14973860,6006874,37125335,101014731,41647272,29762085,8281268,1347201,4333866,2324430,28444896,234772616,382941420,4288294858,20692157,154102045,41423503,72197472,148994752,770343,89277261,872013340,1535209127,65477325,2690911,25453810,25046,69292036,236214,367980,167786205,369395454,37194717,62676,431801,6187343,31912,6762290,27397376,59414145,1233562,1808373,63556630,3008999,6689049,14218970,32334043,94652411,2504823,104822,118700,125843161,79360113,234100399,4078250050,328238192,241239044,120029405,73245225,137507057,2847434,1632032,385838,160814998,77332316,39530787,6273484148,3606529222,12922998,203674957,399273472,27393371,6001668636,16340696,21407898,102611164,61617546,155877883,9454019,84684316,101437022,0,1
Michigan,9836302,227454310,2365007,268956225,23906703,14087065,229485058,66608238,2507624,35505452,14892049,55390384,22017403,170570,9638432,89297217,11993077,27407567,264524154,111828151,588805405,19311434,361357228,5526842,72567406,281042588,1141197833,700752999,732290623,1045949994,14492294,263477795,270791474,216827617,70167552,9414183,4396944,626872652,3195858627,391772756,41972368,13666085,1175407,236368052,260592,67147,23451487,284805567,48925100,,1420488,707341,275139,21364525,4264355,90968606,20500628,7917494,176851315,19731357,9212302,5886997,51831400,10300913,9098896,632429,383204,98894408,74123974,1108590078,73503513,1071972748,1161739002,178168379,167282655,673371003,17586695,17116464,2430177,85319268,249892009,344155169,7504568376,6582381997,18183515,20906200798,1170022315,46176063,1825588588,6696223,3442482,26309123,827884918,66565954,22622281,8862959,245972545,0,0
Minnesota,7725638,363186707,645363,123824604,34844742,3411137,110337474,7817236,7610647,487677309,84108849,310040468,10646377,31193,54067533,58180462,156101202,5250835,195217475,27989588,97816925,179672372,691905426,35211,19509924,440448088,2084920628,23476093,57098825,196901052,245841109,79052001,133077820,48512499,212812603,4208934,6007479,493488977,1183586672,106414234,56234870,5627266,2515464,73030178,2537,3784,205750431,156417763,50621963,2520,3760,1334389,17894,17159866,657967,34304120,468109,17878431,39142036,1760653,5622998,6995665,33456159,35292115,1519552,114775,2028793,226331399,35758420,88243683,39748111,96646728,422612725,81296268,8754055,146191164,946402,1496650,495806,16336343,73532292,88938580,3621176579,3282371157,41015449,1857651814,548462399,36490775,4310733568,741604,3105554,112306339,104011627,75377043,12715737,22724803,68659745,0,0
Mississippi,124069,202026101,182642,4234537,5611843,19417,8364866,555311,88367,7876139,27380,,129090,197312,24639401,6199781,195258,,20862140,151458,10712104,1787021,34353006,,25209790,21439,4020683550,80185755,11716013,91393459,64222723,470828215,31286665,7488391,11280624,20425,163168,116366181,247080121,39832805,104570,3771463,,200199060,2786,22679,604040940,215820898,9378472,,24382,457010660,,546948,329258,43761176,235994,511351,11080964,12089141,6718715,4005525,10730025,830735,1639481,666093,10590,17082968,190627,13622996,570080,319622656,54628628,14739399,756830,24168241,6748,193256,,830237,58014266,7040136,1220416946,1286646959,41651939,694091234,122041938,13962403,1438716841,15883,214322,34530222,57003909,45384789,3845257,4151573,33468749,1,0
Missouri,9156283,293854279,576383,41455111,17278961,136252,7144392,2730674,9581988,419575863,35172036,345595174,6606917,607056,54364686,26718150,1543895,13363252,120901421,10212343,139936611,78115798,588960724,21812,12900342,180071314,819291707,123311084,1047305862,760606188,131893604,99500147,71871555,155892098,116980253,7196533,40737115,785229623,492136229,124035367,133700877,8292814,57485,229658359,126441,21064,2443455,92003474,67526448,,3275439,19451902,32187,5937971,546964,13983813,273814,593230,19046010,638807,7408228,2693857,11061712,7527193,2009805,210333,259252,133649606,16340330,31719312,24398997,70995520,306033324,448303280,10242138,266027221,17807165,1866034,94764,25552359,80309769,39473855,2184250125,999786053,69047466,3843549416,273516998,27200605,492831984,480680,2314813,619851269,79472499,70246001,11717391,29453888,40666490,0,0
Montana,111690727,1096288,129976,1265837,1479534,60119,191921932,168580,9164,40868838,1427193,27235626,162314,48972,82947,226128,109924,3403,13770231,15771,8573787,234481,26642310,5499320,62751926,114759689,221930843,281825180,4114114,95596905,1506711,139248,746152,128830,265034,3220881,,168210812,14897228,1110021,58944,3845793,220354,9265805,,,4041,384458,541018,,,15536,22214,76320,,38071,63557,,65778,,373324,1059319,448270,1033747,192267,16105,10425,12051490,346397,287718,5582465,5409387,6662993,912958,40194,1837428,,,30877,54334,1533961,1182719,276506173,17785029,2834939,140534626,215495553,2375748,61090833,32324,27175121,2009763,1574808,3727831,132227,965835,4054187,0,0
Nebraska,1409303,2243712063,,9101625,72654848,9744,48675807,113628,686499,409815646,11460863,438562919,12521,18312,53758035,11990008,70835110,426119,49474834,34479217,12634250,2298846,513965674,,26234146,12430,134430144,7717320,19280517,425784507,2071582,4250438,113480459,8192650,60758468,10215,2872,103209660,76282435,32216379,150099485,689585,,1584353,16347,89929,844746,11221590,1046581,,2430462,9248,,147726,385135,4368716,41549,563353,6889343,37859,131806,903748,3446937,91069,4469737,,,7578731,7583246,2016511,85181,66870589,72111663,10477863,70643,7379427,2539,437689,629061,159823,2299314,2603893,988166524,176415949,64340586,217349596,180170364,159466,420051322,178356,134746,43738537,12168899,5729318,3047392,194666,13372285,0,0
Nevada,7949871,32606904,34742,44544241,104570,8468470,18668300,1052834,94619548,27550,96999,12957396,1337208,471259,523178,384602,5710961,11634000,27042048,13755691,90429843,13684295,6178536,3914041,39861417,882402317,3335973,222320951,44401841,71573771,757126,50726052,50706644,6901361,2253968,178943,69478,83932150,110281872,11387688,9189,8797655,64102,19726397,19835,,8330906,38834110,19692525,,28333,5922004,10864,391650,1127620,2640028,607256,395566,14189798,212182,30575862,28371406,16364448,4161963,2860697,221264,467444,16579327,2425027,2718169,2980213955,25892751,47047472,9559048,33928249,18099879,158058,179602,109447,14211117,8301029,34911278,808294035,2178391229,10655187,99143116,154671705,1453120,384360635,5739671,3387442,90357700,30288834,375076323,5708296,20486321,16282249,0,0
New Hampshire,70869,,65936475,1469452,71460,62212,46006,28089,369870,,152840,85129,55144,,11216049,1904581,13941634,35918917,697742,1009095,4273316,785815,215564,2942,2666885,414273,35247319,1711928,26362061,486075709,71446,26929268,5465580,15189723,16195850,501384,629032,117927667,269749022,34959009,1337411,2415091,28246,58312237,41617,,6119233,34142945,75595860,,66342,180008,44110,11954490,2183423,20852627,1109038,3866668,15759075,1446523,5532272,2485185,7522903,5677419,6893998,31050,29212,36141294,1178516,26104445,101128227,7496475,32033392,15459512,14691497,29015867,94792,45552,540655,2712551,6001444,7166031,1514463662,1057635593,12742239,33200740,1535864586,1482617,510224197,2808857,235710,111104633,7420462,8022895,7032174,6648690,28012010,0,1
New Jersey,1761504,50014869,14636069,58923555,21262736,4477836,43260694,255212656,150664589,26167082,35092932,131628730,82786300,315671,177436074,29284952,132365568,368425779,171040933,163527505,443111490,131555857,128468991,24442364,35924285,14465100,2222262300,516778329,1238207132,1734744220,20180927,477174271,2813611933,565653296,133136340,4350766,233625825,2073067032,1639436168,124532192,2261936,132857464,19899640,17898741,260783,1326569,189532727,274401840,174420819,117716,482088,5176198,145027,11291266,6158202,14070850,11176115,10489749,29984144,4273616,131644038,173513451,103292561,49908899,27849927,1363708,14527062,51416384,56373249,193526902,5303400473,875727026,365719999,539119941,52895644,295867411,7493168,2329097,21772950,68247434,120910603,56857395,4479515029,2595794661,41086959,1810056747,734119121,128474587,2883829323,154033346,9371629,332718975,120726333,84023119,51131371,225473925,206433161,0,1
